title,slug,pay,jobs,outlook,education,exposure,exposure_rationale
Software Engineers (General),software-engineers,800000,1500000,12,Bachelor's degree,7,"Writing and testing code is entirely digital and highly exposed to AI coding assistants. Routine programming tasks are rapidly moving toward automation, though system design and logic architecture still require human oversight."
Frontend Developers,frontend-developers,700000,350000,10,Bachelor's degree,8,Generative AI models are increasingly capable of translating design mockups directly into functional frontend code. Routine UI component creation is highly susceptible to automation.
Backend Developers,backend-developers,900000,450000,12,Bachelor's degree,6,"Backend logic, API design, and database queries are completely digital. AI tools can rapidly generate boilerplate code, optimize SQL queries, and assist in debugging complex server-side issues."
Full Stack Developers,full-stack-developers,1000000,350000,15,Bachelor's degree,7,"While full stack requires cross-domain knowledge, both frontend and backend tasks are highly exposed to AI productivity gains, reducing the overall time needed to build end-to-end applications."
Mobile App Developers,mobile-app-developers,800000,200000,10,Bachelor's degree,5,"App development frameworks (like React Native and Flutter) are well-understood by modern LLMs, allowing for rapid generation of mobile UIs and business logic."
Quality Assurance (QA) Engineers,qa-engineers,600000,400000,8,Bachelor's degree,9,"Writing test cases, automating UI tests, and identifying edge cases are areas where AI test generation tools excel. Manual testing is being rapidly replaced by AI-driven automated test suites."
Data Scientists,data-scientists,1200000,150000,28,Bachelor's degree or higher,10,"Data science is a fully digital occupation centered on statistical modeling and data analysis, areas where AI is rapidly achieving parity. AI can automate significant portions of the data pipeline."
Machine Learning Engineers,machine-learning-engineers,1500000,80000,35,Master's degree preferred,8,"While ML Engineers literally build AI, the task of implementing standard model architectures and tuning hyperparameters is increasingly automated by AutoML and code generation models."
Data Analysts,data-analysts,650000,250000,18,Bachelor's degree,9,"The core tasks of querying data, generating reports, and building dashboards are highly susceptible to AI automation. LLMs can instantly convert natural language questions into complex SQL and visual charts."
Data Engineers,data-engineers,1100000,100000,22,Bachelor's degree,6,"Building ETL pipelines and managing data infrastructure is digital work. AI can generate complex data transformation scripts and optimize database configurations, increasing engineer productivity."
AI Researchers,ai-researchers,1800000,20000,25,Ph.D or Master's degree,5,"While pushing the boundaries of scientific knowledge requires profound human creativity, the literature review, code implementation, and experiment tracking phases are heavily assisted by AI."
DevOps Engineers,devops-engineers,1100000,150000,20,Bachelor's degree,7,Infrastructure as Code (IaC) and CI/CD pipelines are inherently digital. AI can generate configuration files (like Terraform/Kubernetes) and automatically resolve deployment errors.
Cloud Architects,cloud-architects,2000000,60000,15,Bachelor's degree,4,"Designing resilient cloud architectures requires high-level strategic thinking, but AI is quickly becoming capable of analyzing system requirements and proposing optimized cloud topologies."
Cybersecurity Analysts,cybersecurity-analysts,850000,120000,32,Bachelor's degree,8,Monitoring network traffic and analyzing threat logs is heavily data-driven. AI excels at pattern recognition for anomaly detection and can automate incident response playbooks.
Network Engineers,network-engineers,600000,200000,6,Bachelor's degree,4,"Network design and configuration is largely digital and automatable via Software Defined Networking (SDN). However, physical hardware installation and troubleshooting provide some buffer."
Database Administrators,database-administrators,800000,90000,4,Bachelor's degree,8,"AI can already automate routine DBA tasks like performance tuning, index optimization, and security monitoring, leading to massive productivity gains and reducing the need for manual oversight."
Product Managers (Tech),product-managers,1600000,150000,10,Bachelor's or Master's degree,2,"While AI can draft PRDs, analyze user data, and summarize meetings, the core role demands intense cross-functional collaboration, stakeholder alignment, and complex human empathy that AI cannot replace."
UI/UX Designers,ui-ux-designers,750000,150000,8,Bachelor's degree,5,"Generative AI is rapidly advancing in visual design, capable of generating entire user interfaces, icons, and layout options in seconds, heavily altering the digital design workflow."
Systems Analysts,systems-analysts,950000,250000,9,Bachelor's degree,5,Analyzing technical requirements and modeling systems can be performed entirely on a computer. AI is highly capable of generating system diagrams and technical documentation.
IT Project Managers,it-project-managers,1400000,250000,8,Bachelor's degree,3,"Project management involves risk assessment, resource allocation, and timeline tracking—tasks AI can optimize. The human element of motivating teams and handling interpersonal conflicts provides a strong buffer."
Tech Sales & Solutions Engineers,tech-sales,1000000,150000,12,Bachelor's degree,1,"While AI can generate sales pitches, analyze client data, and provide technical answers, B2B enterprise sales remain heavily dependent on relationship-building and human trust."
IT Support Specialists,it-support-specialists,450000,350000,-2,Postsecondary nondegree award,3,Diagnosing software issues and guiding users through digital workflows are highly susceptible to AI chatbots and automated troubleshooting. Physical hardware setup provides a small residual need for human staff.
